pid,event,time,time2,num_birthdate,num_imr_birth,fac_sex,fac_civ,fac_ses_50,fac_birthplace,fac_region
765000603,1,94.51,95.813,1765.4900511304133,22.2,female,widow,unknown,remote,rural
765000669,1,94.266,95.756,1765.7337248540352,17.7184466,female,unmarried,unknown,parish,industry
768000648,1,91.093,91.947,1768.906959075135,12.7090301,female,widow,unknown,parish,rural
770000562,1,89.009,89.593,1770.9905063074532,16.90544413,female,widow,unknown,parish,industry
770000707,1,89.998,90.211,1770.0021218779304,11.971830989999999,female,widow,middle,region,rural
771000617,1,88.429,89.762,1771.570942592935,13.0859375,female,widow,unknown,parish,rural
771000619,1,88.18,97.267,1771.8200921305709,13.0859375,male,widow,lower,region,rural
771000638,1,88.667,90.742,1771.3327446833268,16.93548387,female,widow,unknown,parish,industry
771000670,1,88.708,90.255,1771.291676078222,12.7090301,female,widow,unknown,parish,rural
772000622,1,87.988,94.978,1772.0117456210598,14.23357664,female,widow,unknown,parish,industry
772000638,1,87.175,89.469,1772.8249040021356,14.23357664,female,widow,farmer,parish,industry
772000647,1,87.668,92.492,1772.3320807408777,12.7090301,female,widow,lower,parish,rural
772000663,0,87.651,92.142,1772.3485081829194,10.21505376,male,unmarried,unknown,remote,industry
772000663,1,93.141,93.248,1772.3485081829194,10.21505376,male,unmarried,unknown,remote,industry
773000520,1,86.795,93.899,1773.205473076107,13.0859375,male,widow,farmer,parish,rural
773000558,0,86.398,87.514,1773.6024695921203,14.23357664,female,married,unknown,parish,industry
773000558,1,87.514,90.258,1773.6024695921203,14.23357664,female,widow,unknown,parish,industry
773000595,1,86.033,91.09,1773.9666112240498,12.41830065,female,widow,farmer,parish,rural
774000622,0,85.165,85.655,1774.8345277452652,16.93548387,female,widow,lower,region,rural
774000622,1,85.655,87.988,1774.8345277452652,16.93548387,female,unmarried,lower,parish,industry
774000649,1,85.105,88.957,1774.894761699419,14.23357664,female,widow,unknown,parish,industry
774000650,1,85.067,89.927,1774.9330923975167,11.971830989999999,female,widow,unknown,region,industry
774000695,0,85.36,86.849,1774.640136347769,12.41830065,male,married,farmer,parish,rural
775000606,1,84.714,88.035,1775.2862824014182,14.207221350000001,female,widow,unknown,remote,industry
775000654,0,84.908,88.396,1775.091891003922,11.971830989999999,female,widow,farmer,region,industry
775000654,1,88.396,90.543,1775.091891003922,11.971830989999999,female,widow,farmer,region,industry
775000727,1,84.626,94.808,1775.3738954256419,16.93548387,female,widow,unknown,parish,industry
775000735,1,84.141,86.463,1775.8585049658789,16.93548387,male,married,farmer,parish,industry
775000739,1,84.889,85.891,1775.111056352971,12.7090301,female,widow,unknown,region,industry
775000742,1,84.738,91.791,1775.2616412383552,14.23357664,female,married,unknown,parish,industry
775000746,1,84.547,88.095,1775.4532947288444,14.23357664,female,widow,unknown,parish,industry
775000783,1,84.12,86.608,1775.8804082219347,16.38297872,male,unmarried,farmer,remote,industry
776000673,1,83.531,86.419,1776.4690582284372,16.90544413,female,widow,unknown,parish,industry
776000772,1,83.071,85.124,1776.9290266056114,13.0859375,female,widow,unknown,parish,rural
776000786,0,83.257,85.746,1776.742848929136,25.377643499999998,male,married,unknown,remote,rural
776000786,1,85.746,85.989,1776.742848929136,25.377643499999998,male,widow,unknown,remote,rural
776000813,1,83.101,87.643,1776.8989096285345,11.971830989999999,female,married,unknown,region,industry
777000374,1,82.51,83.629,1777.490297542044,21.295279909999998,female,unmarried,lower,parish,town
777000622,1,82.608,87.624,1777.3917328897924,16.90544413,female,widow,lower,region,rural
777000642,1,82.893,89.127,1777.1069905610655,16.93548387,female,unmarried,lower,parish,industry
777000695,1,82.51,86.499,1777.490297542044,13.0859375,female,widow,unknown,region,rural
777000709,0,82.277,85.168,1777.723019637638,13.0859375,female,married,unknown,parish,rural
777000709,1,85.168,92.673,1777.723019637638,13.0859375,female,widow,unknown,parish,rural
777000737,1,82.203,83.454,1777.7969431268266,20.41666667,male,widow,lower,remote,industry
777000762,1,82.181,88.005,1777.8188463828826,14.23357664,female,widow,unknown,parish,industry
777000783,1,82.417,85.65,1777.5833863802816,6.103286385,male,married,lower,remote,rural
777000784,1,82.285,84.558,1777.714805916617,12.41830065,female,widow,unknown,region,rural
777000807,1,82.838,87.695,1777.1617487012054,12.41830065,female,widow,unknown,parish,rural
778000400,0,81.513,81.828,1778.4868956925877,16.93548387,male,married,middle,region,town
778000400,0,82.003,82.044,1778.4868956925877,16.93548387,male,unmarried,middle,region,rural
778000400,1,82.044,91.588,1778.4868956925877,16.93548387,male,widow,middle,region,rural
778000709,1,81.636,84.697,1778.3636898772734,16.90544413,female,widow,farmer,parish,industry
778000723,0,81.16,81.65,1778.8400856964893,17.7184466,male,married,lower,region,rural
778000723,0,81.65,84.035,1778.8400856964893,17.7184466,male,married,lower,region,rural
778000723,1,84.035,84.338,1778.8400856964893,17.7184466,male,widow,lower,region,rural
778000800,1,81.839,84.73,1778.161084758756,13.0859375,male,married,farmer,parish,rural
778000830,1,81.951,87.739,1778.0488305714696,16.93548387,female,widow,farmer,parish,industry
778000831,1,81.905,82.794,1778.0953749905884,16.93548387,male,widow,unknown,parish,industry
778000833,1,81.839,88.623,1778.161084758756,16.93548387,female,widow,lower,parish,industry
778000840,1,81.283,81.792,1778.7168798811747,16.93548387,female,widow,unknown,parish,industry
778000846,0,81.943,83.432,1778.0570442924907,14.23357664,female,widow,unknown,parish,industry
778000846,1,83.432,86.882,1778.0570442924907,14.23357664,female,widow,unknown,parish,industry
778000881,0,81.165,84.653,1778.8346098824752,12.7090301,male,married,farmer,parish,rural
778000881,1,84.653,86.8,1778.8346098824752,12.7090301,male,married,farmer,parish,rural
778000882,1,81.009,86.135,1778.9906705818737,8.323424495000001,female,widow,lower,remote,rural
778000918,1,81.803,82.792,1778.196677549847,12.41830065,female,married,lower,parish,rural
778000923,1,81.204,83.293,1778.7962791843775,12.41830065,female,widow,unknown,parish,rural
779000767,1,80.963,87.985,1779.0372150009925,16.90544413,male,married,farmer,parish,industry
779000769,1,80.878,92.533,1779.1220901182091,16.90544413,female,married,farmer,parish,industry
779000819,1,80.837,88.059,1779.163158723314,13.0859375,male,widow,upper,parish,rural
779000869,0,80.448,82.937,1779.5519415183062,13.0859375,male,widow,lower,parish,rural
779000872,1,80.232,84.634,1779.7682361718585,13.0859375,male,married,lower,parish,rural
779000873,1,80.215,85.368,1779.7846636139004,13.0859375,male,married,farmer,parish,rural
779000878,1,80.073,89.053,1779.9270347782638,13.0859375,female,widow,unknown,parish,rural
779000900,1,80.473,90.819,1779.5273003552434,20.41666667,female,widow,unknown,remote,rural
779000921,0,80.407,81.896,1779.5930101234112,16.93548387,female,widow,lower,parish,industry
779000921,1,81.896,84.935,1779.5930101234112,16.93548387,female,widow,lower,parish,industry
779000933,1,82.356,87.473,1777.6436203344354,14.23357664,female,widow,farmer,parish,industry
779000934,1,80.481,99.969,1779.5190866342225,14.23357664,female,widow,unknown,parish,industry
779000946,0,80.955,82.028,1779.0454287220134,12.7090301,male,married,farmer,parish,rural
779000946,1,82.028,82.819,1779.0454287220134,12.7090301,male,widow,farmer,parish,rural
779000981,1,80.109,85.269,1779.8914419871728,12.7090301,female,widow,lower,region,rural
780000469,1,79.342,81.434,1780.6580559491297,12.7090301,female,widow,unknown,parish,rural
780000776,1,79.835,82.014,1780.1652326878718,16.93548387,female,widow,farmer,region,industry
780000891,1,79.731,89.001,1780.2692731541372,19.92337165,female,widow,unknown,region,rural
780000893,1,79.676,89.431,1780.3240312942771,13.0859375,female,widow,unknown,parish,rural
780000902,1,79.265,80.336,1780.7347173453254,14.21072366,male,widow,unknown,remote,rural
780000907,1,79.09,81.579,1780.9099433937727,17.7184466,female,unmarried,farmer,parish,industry
780000908,0,79.509,82.471,1780.4910436217033,15.694789080000001,male,married,lower,remote,rural
780000908,1,82.471,88.245,1780.4910436217033,15.694789080000001,male,widow,lower,remote,rural
780000955,0,79.769,81.258,1780.2309424560394,14.23357664,male,married,farmer,parish,industry
780000955,1,81.258,87.717,1780.2309424560394,14.23357664,male,married,farmer,parish,industry
780000963,1,79.293,85.409,1780.7073382752556,14.23357664,female,widow,unknown,parish,industry
780000966,0,79.183,86.236,1780.816854555535,14.23357664,male,married,farmer,parish,industry
780000966,0,86.236,91.673,1780.816854555535,14.23357664,male,widow,farmer,parish,industry
780000966,1,91.673,92.352,1780.816854555535,14.23357664,male,widow,farmer,parish,industry
780000967,1,79.145,80.262,1780.8551852536327,14.23357664,male,married,unknown,parish,industry
780000968,1,79.106,83.304,1780.8935159517307,9.856915739,female,widow,unknown,remote,industry
780000975,0,79.509,80.998,1780.4910436217033,14.23357664,female,widow,lower,parish,industry
780000975,1,80.998,82.323,1780.4910436217033,14.23357664,female,widow,lower,parish,industry
780000976,0,79.509,85.746,1780.4910436217033,12.41830065,female,married,unknown,region,industry
780000976,1,85.746,89.228,1780.4910436217033,12.41830065,female,widow,unknown,region,industry
780000993,1,79.857,80.533,1780.1433294318158,12.7090301,female,widow,unknown,parish,rural
780000999,1,79.443,81.959,1780.5567533898711,12.41830065,male,married,farmer,region,rural
780001003,1,79.342,81.428,1780.6580559491297,12.7090301,female,widow,unknown,parish,rural
780001032,0,79.977,81.466,1780.0228615235083,12.41830065,female,widow,unknown,parish,rural
780001032,1,81.466,92.815,1780.0228615235083,12.41830065,female,widow,unknown,parish,rural
