pid,event,time,num_birthdate,fac_sex,fac_parish,fac_ses,fac_immigrant
1,1,9.241999999999997,1781.454,male,1,lower,no
2,0,3.5390000000000015,1821.35,male,1,lower,yes
3,1,12.155000000000001,1788.936,male,1,lower,yes
4,1,15.141999999999996,1796.219,female,1,lower,yes
5,0,1.2800000000000011,1822.713,male,1,lower,yes
6,1,20.775999999999996,1813.547,female,1,lower,yes
7,0,30.0,1800.72,female,1,lower,no
8,0,7.676000000000002,1791.151,female,1,lower,no
9,0,9.534999999999997,1807.296,female,1,lower,no
10,1,18.156000000000006,1801.673,female,1,lower,yes
11,0,30.0,1791.422,female,1,lower,yes
12,0,3.2650000000000006,1820.728,male,1,lower,no
13,0,18.616,1826.215,female,1,lower,no
14,1,3.283999999999999,1792.783,male,1,lower,yes
15,0,10.816000000000003,1807.992,male,1,lower,yes
16,1,15.884,1807.452,male,1,lower,yes
17,1,19.319999999999993,1797.257,male,1,lower,yes
18,1,16.22,1797.988,female,1,lower,yes
19,1,4.768000000000001,1799.513,female,1,upper,yes
20,1,26.421999999999997,1781.311,male,1,lower,yes
21,1,8.975999999999999,1785.268,female,1,lower,yes
22,0,30.0,1783.682,male,1,lower,yes
23,0,30.0,1781.123,male,1,lower,yes
24,0,30.0,1800.126,male,1,lower,no
25,1,26.965999999999994,1787.102,male,1,lower,no
26,0,17.622,1803.242,male,1,upper,yes
27,0,1.2719999999999985,1819.592,female,1,upper,yes
28,1,8.970999999999997,1781.251,female,1,lower,yes
29,0,8.951,1807.88,male,1,lower,yes
30,1,20.316000000000003,1816.728,male,1,lower,yes
31,0,7.133000000000003,1816.86,male,1,lower,yes
32,1,18.465000000000003,1814.839,female,1,lower,yes
33,1,22.723,1800.036,male,1,lower,no
34,1,25.042,1804.931,male,1,lower,yes
35,1,9.127000000000002,1801.06,female,1,lower,yes
36,0,5.121000000000002,1839.71,female,1,lower,yes
37,1,17.962000000000003,1802.253,male,1,lower,yes
38,1,21.703999999999994,1801.484,female,1,lower,no
